['3050358', '21', '121']
['3050372', '21', '121']
['3050379', '21', '121']
['3050394', '21', '121']
['3050401', '21', '121']
['3050408', '21', '121']
['3050422', '21', '121']
['3050430', '21', '121']
['3050444', '21', '121']
['3050451', '21', '121']
['3050458', '21', '121']
['3050473', '21', '121']
['3050480', '21', '121']
['3050494', '21', '121']
['3050502', '21', '121']
['3050509', '21', '121']
['3050523', '21', '121']
['3050530', '21', '121']
['3050538', '21', '121']
['3050552', '21', '121']
['3050559', '21', '121']
['3050573', '21', '121']
['3050581', '21', '121']
['3050588', '21', '121']
['3050602', '21', '121']
['3050609', '21', '120']
['3050624', '21', '120']
['3050631', '21', '120']
['3050638', '21', '120']
['3050653', '20', '120']
['3050660', '20', '120']
['3050674', '20', '120']
['3050681', '20', '120']
['3050689', '20', '120']
['3050703', '20', '120']
['3050710', '20', '120']
['3050724', '20', '120']
['3050732', '20', '120']
['3050739', '20', '120']
['3050753', '20', '120']
['3050761', '20', '120']
['3050775', '20', '120']
['3050782', '20', '120']
['3050789', '20', '120']
['3050804', '20', '120']
['3050811', '20', '120']
['3050825', '20', '120']
['3050832', '20', '120']
['3050840', '20', '120']
['3050854', '20', '120']
['3050861', '20', '120']
['3050876', '20', '120']
['3050883', '20', '120']
['3050890', '20', '120']
['3050904', '20', '120']
['3050912', '20', '120']
['3050926', '20', '120']
['3050933', '20', '121']
['3050940', '20', '121']
['3050955', '20', '121']
['3050962', '20', '121']
['3050976', '20', '121']
['3050984', '20', '121']
['3050991', '20', '121']
['3051005', '20', '121']
['3051012', '20', '121']
['3051027', '20', '121']
['3051034', '20', '121']
['3051041', '20', '121']
['3051055', '19', '121']
['3051063', '20', '121']
['3051077', '20', '121']
['3051084', '20', '121']
['3051091', '20', '121']
['3051106', '20', '121']
['3051113', '20', '121']
['3051127', '20', '121']
['3051135', '20', '121']
['3051142', '20', '121']
['3051156', '20', '121']
['3051163', '20', '121']
['3051178', '20', '121']
['3051185', '20', '121']
['3051192', '20', '121']
['3051207', '20', '121']
['3051214', '20', '121']
['3051221', '20', '121']
['3051235', '20', '121']
['3051242', '20', '121']
['3051257', '20', '120']
['3051264', '20', '120']
['3051271', '20', '120']
['3051286', '20', '120']
['3051293', '20', '120']
['3051307', '20', '120']
['3051315', '20', '120']
['3051322', '20', '120']
['3051336', '20', '120']
['3051343', '20', '120']
['3051358', '20', '120']
['3051365', '21', '120']
['3051372', '21', '120']
['3051386', '21', '120']
['3051394', '20', '120']
['3051408', '20', '120']
['3051415', '20', '120']
['3051422', '20', '120']
['3051437', '20', '120']
['3051444', '20', '120']
['3051458', '21', '120']
['3051466', '21', '120']
['3051473', '21', '120']
['3051487', '21', '120']
['3051494', '21', '120']
['3051509', '20', '120']
['3051516', '20', '120']
['3051523', '20', '120']
['3051538', '20', '120']
['3051545', '20', '120']
['3051559', '20', '119']
['3051566', '20', '119']
['3051574', '20', '119']
['3051588', '20', '120']
['3051595', '20', '120']
['3051609', '21', '120']
['3051617', '21', '120']
['3051624', '21', '120']
['3051638', '21', '120']
['3051645', '21', '120']
['3051660', '21', '120']
['3051667', '21', '120']
['3051674', '21', '120']
['3051689', '21', '119']
['3051696', '21', '119']
['3051710', '21', '119']
['3051717', '21', '119']
['3051725', '21', '119']
['3051739', '21', '119']
['3051746', '21', '119']
['3051761', '21', '119']
['3051768', '21', '119']
['3051775', '21', '119']
['3051789', '21', '119']
['3051797', '21', '119']
['3051804', '20', '119']
['3051818', '20', '119']
['3051825', '20', '119']
['3051840', '20', '119']
['3051847', '20', '119']
['3051854', '21', '119']
['3051868', '20', '119']
['3051876', '20', '119']
['3051890', '20', '119']
['3051897', '20', '119']
['3051905', '20', '119']
['3051919', '20', '119']
['3051926', '20', '119']
['3051940', '20', '119']
['3051948', '20', '119']
['3051955', '20', '119']
['3051969', '20', '119']
['3051976', '20', '119']
['3051991', '20', '119']
['3051998', '20', '119']
['3052005', '20', '119']
['3052020', '20', '119']
['3052027', '20', '119']
['3052041', '20', '119']
['3052048', '20', '119']
['3052056', '20', '119']
['3052070', '20', '119']
['3052077', '20', '119']
['3052091', '20', '120']
['3052099', '20', '120']
['3052106', '20', '120']
['3052120', '20', '120']
['3052128', '20', '120']
['3052142', '20', '120']
['3052149', '20', '120']
['3052156', '20', '120']
['3052171', '20', '120']
['3052178', '20', '120']
['3052192', '21', '120']
['3052199', '21', '120']
['3052206', '21', '120']
['3052221', '21', '120']
['3052228', '21', '120']
['3052243', '21', '119']
['3052250', '21', '119']
['3052257', '21', '119']
['3052271', '21', '120']
['3052278', '21', '120']
['3052293', '21', '120']
['3052300', '21', '120']
['3052307', '21', '120']
['3052322', '21', '120']
['3052329', '21', '120']
['3052343', '21', '120']
['3052350', '21', '120']
['3052358', '21', '120']
['3052372', '21', '120']
['3052379', '21', '120']
['3052394', '21', '120']
['3052401', '21', '120']
['3052408', '21', '120']
['3052422', '21', '120']
['3052429', '21', '120']
['3052444', '21', '120']
['3052451', '21', '120']
['3052458', '22', '120']
['3052473', '22', '120']
['3052480', '22', '120']
['3052487', '22', '120']
['3052502', '22', '120']
['3052509', '22', '120']
['3052523', '22', '120']
['3052530', '22', '121']
['3052537', '22', '121']
['3052552', '22', '121']
['3052559', '22', '121']
['3052574', '22', '121']
['3052581', '22', '121']
['3052588', '22', '121']
['3052602', '22', '121']
['3052609', '22', '121']
['3052624', '22', '121']
['3052631', '21', '121']
['3052638', '22', '121']
['3052653', '22', '121']
['3052660', '22', '121']
['3052674', '22', '121']
['3052681', '22', '121']
['3052689', '22', '121']
['3052703', '22', '121']
['3052710', '22', '121']
['3052725', '21', '121']
['3052732', '21', '121']
['3052739', '21', '121']
['3052753', '21', '121']
['3052761', '21', '121']
['3052775', '20', '121']
['3052782', '20', '121']
['3052789', '20', '121']
['3052804', '20', '121']
['3052811', '20', '121']
['3052825', '19', '121']
['3052833', '19', '121']
['3052840', '19', '121']
['3052854', '19', '121']
['3052861', '19', '121']
['3052876', '19', '121']
['3052883', '19', '121']
['3052890', '19', '121']
['3052904', '19', '121']
['3052912', '19', '121']
['3052926', '19', '121']
['3052933', '19', '121']
['3052940', '19', '121']
['3052955', '19', '121']
['3052962', '19', '121']
['3052976', '19', '121']
['3052984', '19', '121']
['3052991', '19', '121']
['3053005', '20', '121']
['3053012', '20', '121']
['3053027', '20', '121']
['3053034', '20', '121']
['3053041', '20', '121']
['3053056', '20', '121']
['3053063', '20', '121']
['3053070', '20', '121']
['3053084', '20', '121']
['3053091', '20', '121']
['3053106', '20', '121']
['3053113', '20', '121']
['3053120', '20', '121']
['3053134', '20', '121']
['3053142', '20', '121']
['3053156', '20', '121']
['3053163', '20', '121']
['3053171', '20', '121']
['3053185', '20', '121']
['3053192', '20', '121']
['3053206', '20', '121']
['3053214', '20', '121']
['3053221', '20', '121']
['3053235', '20', '121']
['3053242', '20', '121']
['3053257', '20', '121']
['3053264', '20', '121']
['3053271', '20', '121']
['3053286', '20', '121']
['3053293', '20', '121']
['3053307', '20', '121']
['3053314', '20', '121']
['3053322', '21', '121']
['3053336', '21', '121']
['3053343', '21', '121']
['3053357', '21', '121']
