['3006821', '26', '139']
['3006828', '26', '139']
['3006842', '26', '139']
['3006849', '26', '139']
['3006856', '26', '139']
['3006871', '26', '139']
['3006878', '26', '139']
['3006885', '26', '139']
['3006900', '26', '139']
['3006907', '26', '138']
['3006921', '26', '138']
['3006928', '26', '138']
['3006936', '26', '138']
['3006950', '26', '139']
['3006957', '26', '139']
['3006972', '26', '139']
['3006979', '26', '139']
['3006986', '26', '139']
['3007001', '26', '139']
['3007008', '26', '139']
['3007022', '26', '139']
['3007029', '26', '139']
['3007036', '26', '139']
['3007051', '26', '139']
['3007058', '26', '139']
['3007072', '26', '139']
['3007079', '26', '139']
['3007087', '26', '139']
['3007101', '27', '139']
['3007108', '27', '140']
['3007123', '27', '140']
['3007130', '27', '140']
['3007137', '27', '140']
['3007151', '27', '140']
['3007159', '27', '140']
['3007173', '27', '140']
['3007180', '27', '140']
['3007187', '27', '140']
['3007202', '27', '140']
['3007209', '27', '140']
['3007223', '28', '141']
['3007231', '28', '141']
['3007238', '28', '141']
['3007252', '28', '140']
['3007259', '28', '140']
['3007274', '27', '140']
['3007281', '27', '140']
['3007288', '27', '140']
['3007302', '27', '140']
['3007310', '27', '140']
['3007324', '27', '140']
['3007331', '27', '140']
['3007339', '27', '140']
['3007353', '27', '140']
['3007360', '27', '140']
['3007374', '27', '139']
['3007382', '27', '139']
['3007389', '27', '139']
['3007403', '27', '139']
['3007410', '27', '139']
['3007425', '27', '139']
['3007432', '27', '139']
['3007439', '26', '139']
['3007454', '26', '139']
['3007461', '26', '139']
['3007475', '26', '139']
['3007482', '26', '139']
['3007490', '26', '139']
['3007504', '26', '139']
['3007511', '26', '139']
['3007525', '26', '138']
['3007533', '26', '138']
['3007540', '26', '138']
['3007554', '26', '138']
['3007562', '26', '138']
['3007569', '26', '138']
['3007583', '26', '138']
['3007590', '25', '138']
['3007605', '25', '138']
['3007612', '25', '138']
['3007619', '25', '138']
['3007633', '25', '138']
['3007640', '25', '138']
['3007655', '25', '138']
['3007662', '25', '138']
['3007669', '25', '138']
['3007684', '25', '138']
['3007691', '25', '138']
['3007705', '25', '138']
['3007712', '26', '138']
['3007720', '26', '138']
['3007734', '25', '138']
['3007741', '25', '138']
['3007756', '25', '138']
['3007763', '25', '138']
['3007770', '25', '138']
['3007784', '25', '138']
['3007792', '25', '138']
['3007806', '25', '138']
['3007813', '25', '137']
['3007820', '25', '137']
['3007835', '25', '137']
['3007842', '25', '137']
['3007856', '25', '137']
['3007863', '25', '137']
['3007871', '25', '137']
['3007885', '25', '137']
['3007892', '25', '137']
['3007907', '25', '137']
['3007914', '25', '137']
['3007921', '25', '137']
['3007935', '25', '137']
['3007943', '26', '137']
['3007957', '26', '137']
['3007964', '26', '137']
['3007971', '26', '138']
['3007986', '26', '138']
['3007993', '26', '138']
['3008007', '26', '138']
['3008014', '26', '138']
['3008022', '26', '138']
['3008036', '26', '138']
['3008043', '26', '138']
['3008058', '27', '138']
['3008065', '27', '138']
['3008072', '27', '138']
['3008086', '27', '138']
['3008094', '26', '138']
['3008108', '26', '138']
['3008115', '26', '139']
['3008122', '26', '139']
['3008137', '26', '139']
['3008144', '26', '139']
['3008158', '27', '139']
['3008166', '27', '139']
['3008173', '27', '139']
['3008187', '27', '139']
['3008194', '27', '139']
['3008209', '27', '139']
['3008216', '26', '139']
['3008223', '26', '139']
['3008237', '27', '139']
['3008245', '26', '139']
['3008252', '26', '139']
['3008266', '26', '139']
['3008274', '26', '139']
['3008288', '25', '139']
['3008295', '25', '139']
['3008302', '26', '140']
['3008317', '26', '140']
['3008324', '26', '140']
['3008338', '26', '139']
['3008345', '26', '140']
['3008352', '26', '140']
['3008367', '26', '140']
['3008374', '26', '140']
['3008389', '26', '140']
['3008396', '26', '140']
['3008403', '26', '140']
['3008417', '26', '140']
['3008424', '27', '140']
['3008439', '27', '140']
['3008446', '27', '140']
['3008453', '27', '140']
['3008467', '27', '140']
['3008475', '27', '140']
['3008489', '27', '140']
['3008496', '27', '141']
['3008504', '27', '141']
['3008518', '27', '141']
['3008525', '28', '141']
['3008539', '28', '141']
['3008547', '28', '141']
['3008554', '28', '141']
['3008568', '28', '141']
['3008575', '28', '141']
['3008590', '27', '141']
['3008597', '27', '141']
['3008604', '27', '141']
['3008619', '27', '141']
['3008626', '27', '141']
['3008640', '27', '141']
['3008647', '28', '141']
['3008655', '28', '141']
['3008669', '28', '141']
['3008676', '28', '141']
['3008690', '28', '141']
['3008698', '28', '141']
['3008705', '28', '141']
['3008719', '28', '141']
['3008726', '28', '141']
['3008741', '28', '141']
['3008748', '28', '141']
['3008755', '28', '141']
['3008770', '28', '141']
['3008777', '28', '141']
['3008791', '29', '141']
['3008798', '29', '141']
['3008805', '29', '141']
['3008820', '29', '141']
['3008827', '29', '141']
['3008842', '29', '141']
