Time:1662106363.8941302; +MPOS:74519510,-19,126,0,0,0
Time:1662106363.9010644; +MPOS:74519518,-19,126,0,0,0
Time:1662106363.913023; +MPOS:74519530,-19,126,0,0,0
Time:1662106363.920215; +MPOS:74519537,-19,126,0,0,0
Time:1662106363.9275804; +MPOS:74519544,-19,126,0,0,0
Time:1662106363.9345007; +MPOS:74519551,-19,126,0,0,0
Time:1662106363.9464622; +MPOS:74519563,-19,126,0,0,0
Time:1662106363.9536824; +MPOS:74519571,-19,126,0,0,0
Time:1662106363.960811; +MPOS:74519578,-20,126,0,0,0
Time:1662106363.9680638; +MPOS:74519585,-20,126,0,0,0
Time:1662106363.979912; +MPOS:74519597,-20,126,0,0,0
Time:1662106363.9871454; +MPOS:74519604,-20,126,0,0,0
Time:1662106363.9942904; +MPOS:74519611,-20,126,0,0,0
Time:1662106364.0014253; +MPOS:74519618,-20,126,0,0,0
Time:1662106364.0133936; +MPOS:74519630,-20,126,0,0,0
Time:1662106364.020599; +MPOS:74519638,-20,126,0,0,0
Time:1662106364.0280638; +MPOS:74519645,-19,126,0,0,0
Time:1662106364.034888; +MPOS:74519652,-19,126,0,0,0
Time:1662106364.0468283; +MPOS:74519664,-20,126,0,0,0
Time:1662106364.0540485; +MPOS:74519671,-20,126,0,0,0
Time:1662106364.0611908; +MPOS:74519679,-20,126,0,0,0
Time:1662106364.0686135; +MPOS:74519686,-20,126,0,0,0
Time:1662106364.0804656; +MPOS:74519698,-20,126,0,0,0
Time:1662106364.0877771; +MPOS:74519705,-20,126,0,0,0
Time:1662106364.0947163; +MPOS:74519712,-20,126,0,0,0
Time:1662106364.101629; +MPOS:74519719,-20,127,0,0,0
Time:1662106364.1135843; +MPOS:74519731,-20,127,0,0,0
Time:1662106364.1208527; +MPOS:74519739,-20,127,0,0,0
Time:1662106364.1281943; +MPOS:74519746,-20,126,0,0,0
Time:1662106364.1350927; +MPOS:74519753,-20,126,0,0,0
Time:1662106364.1470513; +MPOS:74519765,-20,126,0,0,0
Time:1662106364.154262; +MPOS:74519772,-20,126,0,0,0
Time:1662106364.161408; +MPOS:74519779,-19,126,0,0,0
Time:1662106364.1685832; +MPOS:74519787,-19,126,0,0,0
Time:1662106364.1805942; +MPOS:74519799,-19,126,0,0,0
Time:1662106364.1878278; +MPOS:74519806,-19,126,0,0,0
Time:1662106364.1949544; +MPOS:74519813,-19,126,0,0,0
Time:1662106364.2023826; +MPOS:74519820,-19,126,0,0,0
Time:1662106364.2141674; +MPOS:74519832,-19,126,0,0,0
Time:1662106364.221388; +MPOS:74519839,-19,125,0,0,0
Time:1662106364.228809; +MPOS:74519847,-19,126,0,0,0
Time:1662106364.2356436; +MPOS:74519854,-19,126,0,0,0
Time:1662106364.2475817; +MPOS:74519866,-19,126,0,0,0
Time:1662106364.254839; +MPOS:74519873,-19,126,0,0,0
Time:1662106364.261955; +MPOS:74519880,-19,126,0,0,0
Time:1662106364.2692385; +MPOS:74519887,-19,126,0,0,0
Time:1662106364.2810628; +MPOS:74519899,-19,126,0,0,0
Time:1662106364.288321; +MPOS:74519907,-20,126,0,0,0
Time:1662106364.295489; +MPOS:74519914,-20,126,0,0,0
Time:1662106364.3024023; +MPOS:74519921,-20,126,0,0,0
Time:1662106364.314382; +MPOS:74519933,-19,126,0,0,0
Time:1662106364.321566; +MPOS:74519940,-19,126,0,0,0
Time:1662106364.3289673; +MPOS:74519947,-19,126,0,0,0
Time:1662106364.3359222; +MPOS:74519955,-19,126,0,0,0
Time:1662106364.34783; +MPOS:74519967,-19,126,0,0,0
Time:1662106364.355031; +MPOS:74519974,-19,126,0,0,0
Time:1662106364.3621855; +MPOS:74519981,-19,126,0,0,0
Time:1662106364.3693364; +MPOS:74519988,-19,125,0,0,0
Time:1662106364.3813152; +MPOS:74520000,-19,125,0,0,0
Time:1662106364.3885336; +MPOS:74520007,-19,125,0,0,0
Time:1662106364.3957028; +MPOS:74520015,-19,125,0,0,0
Time:1662106364.4029527; +MPOS:74520022,-19,125,0,0,0
Time:1662106364.4148984; +MPOS:74520034,-19,125,0,0,0
Time:1662106364.4221334; +MPOS:74520041,-19,125,0,0,0
Time:1662106364.4295366; +MPOS:74520048,-19,125,0,0,0
Time:1662106364.4364235; +MPOS:74520055,-18,125,0,0,0
Time:1662106364.4484606; +MPOS:74520067,-18,125,0,0,0
Time:1662106364.4555948; +MPOS:74520075,-18,125,0,0,0
Time:1662106364.4627228; +MPOS:74520082,-18,125,0,0,0
Time:1662106364.4698808; +MPOS:74520089,-18,125,0,0,0
Time:1662106364.4818695; +MPOS:74520101,-18,124,0,0,0
Time:1662106364.4891713; +MPOS:74520108,-18,124,0,0,0
Time:1662106364.4962893; +MPOS:74520115,-18,124,0,0,0
Time:1662106364.5031757; +MPOS:74520123,-18,124,0,0,0
Time:1662106364.515123; +MPOS:74520135,-18,124,0,0,0
Time:1662106364.5223677; +MPOS:74520142,-18,124,0,0,0
Time:1662106364.5296948; +MPOS:74520149,-18,124,0,0,0
Time:1662106364.5366333; +MPOS:74520156,-17,124,0,0,0
Time:1662106364.548614; +MPOS:74520168,-17,124,0,0,0
Time:1662106364.5558152; +MPOS:74520176,-17,124,0,0,0
Time:1662106364.5629563; +MPOS:74520183,-17,124,0,0,0
Time:1662106364.5701146; +MPOS:74520190,-17,124,0,0,0
Time:1662106364.5820582; +MPOS:74520202,-17,124,0,0,0
Time:1662106364.589273; +MPOS:74520209,-17,124,0,0,0
Time:1662106364.596529; +MPOS:74520216,-17,124,0,0,0
Time:1662106364.6037257; +MPOS:74520224,-17,124,0,0,0
Time:1662106364.6156797; +MPOS:74520236,-17,124,0,0,0
Time:1662106364.6229002; +MPOS:74520243,-17,124,0,0,0
Time:1662106364.6303327; +MPOS:74520250,-17,124,0,0,0
Time:1662106364.6372013; +MPOS:74520257,-17,124,0,0,0
Time:1662106364.6491985; +MPOS:74520269,-17,124,0,0,0
Time:1662106364.6563706; +MPOS:74520276,-17,124,0,0,0
Time:1662106364.6634996; +MPOS:74520284,-17,124,0,0,0
Time:1662106364.6706367; +MPOS:74520291,-17,124,0,0,0
Time:1662106364.6825976; +MPOS:74520303,-17,124,0,0,0
Time:1662106364.6898232; +MPOS:74520310,-17,124,0,0,0
Time:1662106364.697021; +MPOS:74520317,-17,125,0,0,0
Time:1662106364.7039344; +MPOS:74520324,-18,125,0,0,0
Time:1662106364.7159212; +MPOS:74520336,-18,125,0,0,0
Time:1662106364.7231727; +MPOS:74520344,-18,126,0,0,0
Time:1662106364.73046; +MPOS:74520351,-18,126,0,0,0
Time:1662106364.7373958; +MPOS:74520358,-18,126,0,0,0
Time:1662106364.7493465; +MPOS:74520370,-18,126,0,0,0
Time:1662106364.7565715; +MPOS:74520377,-18,126,0,0,0
Time:1662106364.7637184; +MPOS:74520384,-18,126,0,0,0
Time:1662106364.770843; +MPOS:74520392,-18,126,0,0,0
Time:1662106364.782799; +MPOS:74520404,-18,126,0,0,0
Time:1662106364.7900586; +MPOS:74520411,-19,126,0,0,0
Time:1662106364.7972834; +MPOS:74520418,-19,126,0,0,0
Time:1662106364.804486; +MPOS:74520425,-19,126,0,0,0
Time:1662106364.8164499; +MPOS:74520437,-19,126,0,0,0
Time:1662106364.8236623; +MPOS:74520444,-19,126,0,0,0
Time:1662106364.8310225; +MPOS:74520452,-19,126,0,0,0
Time:1662106364.837993; +MPOS:74520459,-18,126,0,0,0
Time:1662106364.8498893; +MPOS:74520471,-18,126,0,0,0
Time:1662106364.8571339; +MPOS:74520478,-18,126,0,0,0
Time:1662106364.8642602; +MPOS:74520485,-18,126,0,0,0
Time:1662106364.8713853; +MPOS:74520492,-18,126,0,0,0
Time:1662106364.8833585; +MPOS:74520504,-18,126,0,0,0
Time:1662106364.8905933; +MPOS:74520512,-18,126,0,0,0
Time:1662106364.8977728; +MPOS:74520519,-18,126,0,0,0
Time:1662106364.904863; +MPOS:74520526,-19,126,0,0,0
Time:1662106364.9168098; +MPOS:74520538,-19,126,0,0,0
Time:1662106364.9240348; +MPOS:74520545,-19,125,0,0,0
Time:1662106364.9312036; +MPOS:74520552,-19,125,0,0,0
Time:1662106364.9383864; +MPOS:74520560,-19,125,0,0,0
Time:1662106364.9502814; +MPOS:74520572,-19,125,0,0,0
Time:1662106364.9574912; +MPOS:74520579,-19,126,0,0,0
Time:1662106364.9646487; +MPOS:74520586,-19,126,0,0,0
Time:1662106364.9717915; +MPOS:74520593,-19,126,0,0,0
Time:1662106364.9837646; +MPOS:74520605,-19,126,0,0,0
Time:1662106364.9909725; +MPOS:74520612,-19,126,0,0,0
Time:1662106364.9982746; +MPOS:74520620,-19,126,0,0,0
Time:1662106365.0054777; +MPOS:74520627,-19,126,0,0,0
Time:1662106365.0174155; +MPOS:74520639,-19,126,0,0,0
Time:1662106365.0247967; +MPOS:74520646,-19,126,0,0,0
Time:1662106365.0317998; +MPOS:74520653,-19,126,0,0,0
Time:1662106365.038952; +MPOS:74520660,-19,126,0,0,0
Time:1662106365.050873; +MPOS:74520672,-19,126,0,0,0
Time:1662106365.058142; +MPOS:74520680,-19,126,0,0,0
Time:1662106365.0652344; +MPOS:74520687,-19,126,0,0,0
Time:1662106365.0723984; +MPOS:74520694,-19,125,0,0,0
Time:1662106365.0844655; +MPOS:74520706,-19,125,0,0,0
Time:1662106365.0915687; +MPOS:74520713,-18,125,0,0,0
Time:1662106365.098789; +MPOS:74520720,-18,125,0,0,0
Time:1662106365.1056786; +MPOS:74520728,-18,125,0,0,0
Time:1662106365.1175845; +MPOS:74520740,-18,125,0,0,0
Time:1662106365.124935; +MPOS:74520747,-18,125,0,0,0
Time:1662106365.1319582; +MPOS:74520754,-18,125,0,0,0
Time:1662106365.1391187; +MPOS:74520761,-18,125,0,0,0
Time:1662106365.151032; +MPOS:74520773,-18,125,0,0,0
Time:1662106365.1583464; +MPOS:74520780,-18,125,0,0,0
Time:1662106365.1654193; +MPOS:74520788,-18,125,0,0,0
Time:1662106365.17256; +MPOS:74520795,-18,125,0,0,0
Time:1662106365.1844988; +MPOS:74520807,-18,125,0,0,0
Time:1662106365.1917195; +MPOS:74520814,-18,125,0,0,0
Time:1662106365.1989257; +MPOS:74520821,-18,125,0,0,0
Time:1662106365.2060158; +MPOS:74520828,-18,125,0,0,0
Time:1662106365.2180061; +MPOS:74520840,-18,125,0,0,0
Time:1662106365.2253618; +MPOS:74520848,-18,125,0,0,0
Time:1662106365.2323458; +MPOS:74520855,-18,125,0,0,0
Time:1662106365.2394576; +MPOS:74520862,-18,126,0,0,0
Time:1662106365.251513; +MPOS:74520874,-18,126,0,0,0
Time:1662106365.2587006; +MPOS:74520881,-18,126,0,0,0
Time:1662106365.2657835; +MPOS:74520888,-18,126,0,0,0
Time:1662106365.2729144; +MPOS:74520896,-18,126,0,0,0
Time:1662106365.2848766; +MPOS:74520908,-18,125,0,0,0
Time:1662106365.2921648; +MPOS:74520915,-18,125,0,0,0
Time:1662106365.29928; +MPOS:74520922,-18,125,0,0,0
Time:1662106365.3064246; +MPOS:74520929,-18,125,0,0,0
Time:1662106365.3184988; +MPOS:74520941,-17,125,0,0,0
Time:1662106365.3256683; +MPOS:74520949,-17,125,0,0,0
